,name,categories,type,unit,database,"wind turbine construction,
2MW, onshore | wind turbine,
2MW, onshore | GLO |
ecoinvent3.8 cut-off"
215,Formaldehyde,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.3380111693049554
216,Formamide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.7170995305482306e-06
217,Formic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0028263265223096566
218,"Gas, mine, off-gas, process, coal mining","('natural resource', 'in ground')",natural resource,cubic meter,biosphere3,2543.705670888449
219,"Gas, natural, in ground","('natural resource', 'in ground')",natural resource,cubic meter,biosphere3,89081.14060441866
220,Glufosinate,"('soil', 'agricultural')",emission,kilogram,biosphere3,9.58225452412892e-06
221,Glyphosate,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.1770435163246657
222,"Granite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,54459.64447985887
223,"Gravel, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,1706268.130049531
224,"Gypsum, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,5513.997698592615
225,Halosulfuron-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.5922423406623554e-08
226,"Heat, waste","('air', 'urban air close to ground')",emission,megajoule,biosphere3,129442.54250740581
227,Heptane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.3253202265271804
228,Hexane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.535333170006141
229,"Hydrocarbons, aliphatic, alkanes, cyclic","('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.673366633203387
230,"Hydrocarbons, aliphatic, alkanes, unspecified","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.9642175059495807
231,"Hydrocarbons, aliphatic, unsaturated","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.9312557846600444
232,"Hydrocarbons, aromatic","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.7821396026243148
233,"Hydrocarbons, chlorinated","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.019297153354172668
234,Hydrogen,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,8.176531892581345
235,Hydrogen chloride,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,38.42719354112426
236,Hydrogen fluoride,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.1519306982693656
237,Hydrogen peroxide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0014891101163243539
238,Hydrogen sulfide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.06754824675754675
239,Imazamox,"('soil', 'agricultural')",emission,kilogram,biosphere3,6.554474014693868e-06
240,Imazapyr,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.4246341325731187e-09
241,Imazethapyr,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.3810676370381586e-06
242,Imidacloprid,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.002288757066658921
243,Indoxacarb,"('soil', 'agricultural')",emission,kilogram,biosphere3,6.875500196100729e-07
244,Iodine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.029162119183541352
245,Iodosulfuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.6716266510989726e-09
246,Iodosulfuron-methyl-sodium,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.4906019680597753e-10
247,Ioxynil,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.4931281420611695e-06
248,Iprodion,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.004426176910045e-05
249,Iron,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.5801119926060765
250,"Iron, ion","('water', 'ground-')",emission,kilogram,biosphere3,77.98017367869467
251,Isocyanic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.01131032772978871
252,Isopropylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.9347272322675923e-06
253,Isoproturon,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.2919809571184971e-05
254,Isoxaflutole,"('soil', 'agricultural')",emission,kilogram,biosphere3,7.212419967269552e-06
255,Kresoxim-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,4.491113540029304e-07
256,"Krypton, in air","('natural resource', 'in air')",natural resource,kilogram,biosphere3,4.149908475921659e-11
257,Lactic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.3470543906084132e-06
258,Lactofen,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.3200336310319785e-08
259,Lambda-cyhalothrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.001949272267848574
260,Lead,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.07745322589638176
261,Lead-210,"('air', 'urban air close to ground')",emission,kilo Becquerel,biosphere3,35.78935048912066
262,Linuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,4.0278940856081584e-05
263,Magnesium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.224350651191872
264,Malathion,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.2446699433030891e-05
265,Maleic hydrazide,"('soil', 'agricultural')",emission,kilogram,biosphere3,8.923569382241906e-05
266,Mancozeb,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0031671964549578368
267,Maneb,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.0774143899804324e-06
268,Manganese,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.05699005263326191
269,MCPA,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.3973376841523823e-06
270,MCPB,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.3556848134958397e-09
271,Mecoprop,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.4055563530047417e-07
272,Mecoprop-P,"('soil', 'agricultural')",emission,kilogram,biosphere3,7.880706465416975e-07
273,Mefenpyr,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.998638146539607e-08
274,Mefenpyr-diethyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.394765451008617e-12
275,Mepiquat chloride,"('soil', 'agricultural')",emission,kilogram,biosphere3,5.523556040594368e-08
276,Mercury,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0033523056926410334
277,Mesosulfuron-methyl (prop),"('soil', 'agricultural')",emission,kilogram,biosphere3,8.222604264340029e-10
278,Mesotrione,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.263745582451683e-06
279,Metalaxil,"('soil', 'agricultural')",emission,kilogram,biosphere3,8.184516704118462e-05
